app_name,rating,rank,bigram,count
Instagram,3.0,4,gets suspended,300
Instagram,3.0,5,accounts reason,300
Instagram,3.0,6,new updates,300
Instagram,3.0,7,ha ya,300
Instagram,3.0,8,dislike button,300
Instagram,3.0,9,keeps crashing,300
Instagram,3.0,10,doodle feature,200
Instagram,4.0,1,social media,700
Instagram,4.0,2,give stars,600
Instagram,4.0,3,best social,500
Instagram,4.0,4,good like,500
Instagram,4.0,5,nice aap,400
Instagram,4.0,6,good social,300
Instagram,4.0,7,home page,300
Instagram,4.0,8,soon possible,300
Instagram,4.0,9,best ever,300
Instagram,4.0,10,explore page,300
Instagram,5.0,1,social media,8500
Instagram,5.0,2,best social,4800
Instagram,5.0,3,best ever,3100
Instagram,5.0,4,good experience,2600
Instagram,5.0,5,best world,2400
Instagram,5.0,6,best aap,2400
Instagram,5.0,7,good aap,2400
Instagram,5.0,8,nice aap,2200
Instagram,5.0,9,best best,1900
Instagram,5.0,10,best platform,1900
LINE,,1,unknown error,2500
LINE,,2,error occurred,1300
LINE,,3,region doesn,1000
LINE,,4,doesn allow,1000
LINE,,5,allow adding,900
LINE,,6,adding number,900
LINE,,7,error occured,700
LINE,,8,add friends,700
LINE,,9,temporarily blocked,600
LINE,,10,verification temporarily,600
LINE,1.0,1,add friends,12100
LINE,1.0,2,customer service,9900
LINE,1.0,3,qr code,8100
LINE,1.0,4,register number,7800
LINE,1.0,5,unknown error,7400
LINE,1.0,6,doesn work,7400
LINE,1.0,7,transfer code,7000
LINE,1.0,8,temporarily blocked,5900
LINE,1.0,9,worst ever,5700
LINE,1.0,10,add number,5300
LINE,2.0,1,add friends,1400
LINE,2.0,2,qr code,1100
LINE,2.0,3,doesn work,900
LINE,2.0,4,unknown error,900
LINE,2.0,5,split bill,800
LINE,2.0,6,add number,800
LINE,2.0,7,register number,800
LINE,2.0,8,temporarily blocked,700
LINE,2.0,9,customer service,700
LINE,2.0,10,won let,700
LINE,3.0,1,add friends,600
LINE,3.0,2,add number,500
LINE,3.0,3,video call,500
LINE,3.0,4,new messages,500
LINE,3.0,5,forgot password,400
LINE,3.0,6,good like,400
LINE,3.0,7,qr code,400
LINE,3.0,8,like telegram,400
LINE,3.0,9,bring voom,300
LINE,3.0,10,dark theme,300
LINE,4.0,1,bring voom,500
LINE,4.0,2,video call,500
LINE,4.0,3,give star,300
LINE,4.0,4,customer service,300
LINE,4.0,5,contact people,300
LINE,4.0,6,like able,300
LINE,4.0,7,video calls,300
LINE,4.0,8,split bill,300
LINE,4.0,9,last seen,300
LINE,4.0,10,m sure,300
LINE,5.0,1,video calls,2100
LINE,5.0,2,friends family,1700
LINE,5.0,3,cute stickers,1600
LINE,5.0,4,voice video,1500
LINE,5.0,5,video call,1400
LINE,5.0,6,group chats,1100
LINE,5.0,7,good good,1100
LINE,5.0,8,love cute,1000
LINE,5.0,9,good work,900
LINE,5.0,10,best ever,900
Microsoft%20PowerPoint,,1,steps says,100
Microsoft%20PowerPoint,,2,group unless,100
Microsoft%20PowerPoint,,3,large though,100
Microsoft%20PowerPoint,,4,cloud storage,100
Microsoft%20PowerPoint,,5,though m,100
Microsoft%20PowerPoint,,6,basic functions,100
Microsoft%20PowerPoint,,7,frequently put,100
Microsoft%20PowerPoint,,8,show videos,100
Microsoft%20PowerPoint,,9,group multiple,100
Microsoft%20PowerPoint,,10,samsung error,100
Microsoft%20PowerPoint,1.0,1,worst ever,1800
Microsoft%20PowerPoint,1.0,2,power point,1200
Microsoft%20PowerPoint,1.0,3,worst worst,900
Microsoft%20PowerPoint,1.0,4,doesn work,800
Microsoft%20PowerPoint,1.0,5,verification code,600
Microsoft%20PowerPoint,1.0,6,creation blocked,600
Microsoft%20PowerPoint,1.0,7,worst experience,600
Microsoft%20PowerPoint,1.0,8,fare fare,600
Microsoft%20PowerPoint,1.0,9,hard work,500
Microsoft%20PowerPoint,1.0,10,doesn let,500
Microsoft%20PowerPoint,2.0,1,power point,600
Microsoft%20PowerPoint,2.0,2,doesn work,400
Microsoft%20PowerPoint,2.0,3,features like,300
Microsoft%20PowerPoint,2.0,4,edit mode,300
Microsoft%20PowerPoint,2.0,5,need pay,200
Microsoft%20PowerPoint,2.0,6,point presentation,200
Microsoft%20PowerPoint,2.0,7,pay subscription,200
Microsoft%20PowerPoint,2.0,8,like pc,200
Microsoft%20PowerPoint,2.0,9,batch pans,200
