rating,bigram,count
5.0,good enough,2100
5.0,easy find,2100
1.0,news stories,2100
5.0,connect family,2100
1.0,new sucks,2100
5.0,always fun,2100
1.0,nothing happened,2100
1.0,crashes every,2100
5.0,love amazing,2100
1.0,like people,2100
5.0,overall great,2100
2.0,social media,2100
1.0,last couple,2100
